职位,薪资,城市,区域,区域具体,经验要求,学历要求,福利,技能,salary_min,salary_max,salary_multiplier,salary_avg,experience_years_min,experience_years_max,education_level,education_name,job_category,benefits_list,skills_list,benefits_count,skills_count,is_ai_related,is_python_related,is_remote_work
python开发工程师,20-30K,长沙,,,3-5年,大专,"['五险一金', '节日福利', '年终奖', '员工旅游', '定期体检', '股票期权', '带薪年假']","['Python', 'MySQL', 'Oracle', 'odoo 16', 'FASTAPI', '金融借贷项目']",20.0,30.0,1.0,25.0,3,5,4,大专,开发工程师,"['五险一金', '节日福利', '年终奖', '员工旅游', '定期体检', '股票期权', '带薪年假']","['Python', 'MySQL', 'Oracle', 'odoo 16', 'FASTAPI', '金融借贷项目']",7,6,0,1,0
python开发,9-12K,长沙,岳麓区,麓山路,3-5年,本科,"['节日福利', '餐补', '五险一金', '补充医疗保险', '带薪年假', '天天向上', '通讯补贴', '年终奖', '交通补助', '零食下午茶', '定期体检', '员工旅游', '学习奖金']","['Java', 'Docker', 'MySQL', 'Redis', '微服务经验']",9.0,12.0,1.0,10.5,3,5,5,本科,开发工程师,"['节日福利', '餐补', '五险一金', '补充医疗保险', '带薪年假', '天天向上', '通讯补贴', '年终奖', '交通补助', '零食下午茶', '定期体检', '员工旅游', '学习奖金']","['Java', 'Docker', 'MySQL', 'Redis', '微服务经验']",13,5,0,0,0
全栈开发工程师,7-12K·14薪,长沙,岳麓区,望城坡,5-10年,学历不限,"['底薪加提成', '免费班车', '股票期权', '节日福利', '零食下午茶', '团建聚餐', '带薪年假', '交通补助', '五险一金', '夜班补助', '绩效奖金', '年终奖', '全勤奖']","['Java', '全栈侧重后端', 'JavaScript', 'Vue', 'Node.js']",7.0,12.0,1.1666666666666667,11.083333333333334,5,10,1,学历不限,开发工程师,"['底薪加提成', '免费班车', '股票期权', '节日福利', '零食下午茶', '团建聚餐', '带薪年假', '交通补助', '五险一金', '夜班补助', '绩效奖金', '年终奖', '全勤奖']","['Java', '全栈侧重后端', 'JavaScript', 'Vue', 'Node.js']",13,5,0,0,0
Python 开发（智能体）,10-15K,长沙,岳麓区,望城坡,3-5年,本科,"['交通补助', '补充医疗保险', '节日福利', '五险一金', '生日福利', '通讯补贴', '零食下午茶', '团建活动', '带薪年假', '免费班车', '加班补助', '定期体检']","['Python', '机器学习经验', '大语言模型', '强化学习融合方案']",10.0,15.0,1.0,12.5,3,5,5,本科,开发工程师,"['交通补助', '补充医疗保险', '节日福利', '五险一金', '生日福利', '通讯补贴', '零食下午茶', '团建活动', '带薪年假', '免费班车', '加班补助', '定期体检']","['Python', '机器学习经验', '大语言模型', '强化学习融合方案']",12,4,0,1,0
海外seo,11-20K,长沙,岳麓区,麓谷,1-3年,大专,"['保底工资', '节假日加班费', '五险一金', '全勤奖', '底薪加提成', '带薪年假', '工龄奖', '绩效奖金']","['SEO/SEM经验（有案例）', '蜘蛛', '黑帽']",11.0,20.0,1.0,15.5,1,3,4,大专,其他,"['保底工资', '节假日加班费', '五险一金', '全勤奖', '底薪加提成', '带薪年假', '工龄奖', '绩效奖金']","['SEO/SEM经验（有案例）', '蜘蛛', '黑帽']",8,3,0,0,0
数据仓库模型标注,8-9K,长沙,岳麓区,望城坡,1-3年,本科,"['节日福利', '定期体检', '补充医疗保险', '五险一金']","['hive', 'Hive', 'spark', '数据建模经验', 'Spark', '要求有数仓开发经验', 'SQL', '接受无实时数仓经验', 'sql']",8.0,9.0,1.0,8.5,1,3,5,本科,其他,"['节日福利', '定期体检', '补充医疗保险', '五险一金']","['hive', 'Hive', 'spark', '数据建模经验', 'Spark', '要求有数仓开发经验', 'SQL', '接受无实时数仓经验', 'sql']",4,9,0,0,0
Python后端开发（七险一金+双休+早十晚七）,10-15K,长沙,岳麓区,麓山路,3-5年,本科,[],"['Python', 'Django', 'PostgreSQL', '运维开发经验']",10.0,15.0,1.0,12.5,3,5,5,本科,开发工程师,[],"['Python', 'Django', 'PostgreSQL', '运维开发经验']",0,4,0,1,0
少儿编程老师,6-10K·14薪,长沙,岳麓区,含浦,3-5年,本科,"['五险', '底薪加提成']",[],6.0,10.0,1.1666666666666667,9.333333333333334,3,5,5,本科,教育培训,"['五险', '底薪加提成']",[],2,0,0,0,0
Python讲师,6-11K,长沙,岳麓区,望城坡,经验不限,大专,"['补充医疗保险', '通讯补贴', '定期体检', '生日福利', '底薪加提成', '免费工装', '有无线网', '包住', '节日福利', '住房补贴', '团建聚餐', '保底工资', '零食下午茶', '员工旅游', '带薪年假', '绩效奖金', '宿舍有空调']","['Java', '接受实习/在校生投递', '爬虫经验', '微服务经验', 'MySQL', 'Python']",6.0,11.0,1.0,8.5,0,0,4,大专,开发工程师,"['补充医疗保险', '通讯补贴', '定期体检', '生日福利', '底薪加提成', '免费工装', '有无线网', '包住', '节日福利', '住房补贴', '团建聚餐', '保底工资', '零食下午茶', '员工旅游', '带薪年假', '绩效奖金', '宿舍有空调']","['Java', '接受实习/在校生投递', '爬虫经验', '微服务经验', 'MySQL', 'Python']",17,6,0,1,0
python开发工程师,16-30K,长沙,,,经验不限,本科,"['节日福利', '员工旅游', '带薪年假', '股票期权', '年终奖', '定期体检', '五险一金']",['Odoo、FASTAPI'],16.0,30.0,1.0,23.0,0,0,5,本科,开发工程师,"['节日福利', '员工旅游', '带薪年假', '股票期权', '年终奖', '定期体检', '五险一金']",['Odoo、FASTAPI'],7,1,0,0,0
Python,20-40K,长沙,,,1-3年,本科,"['交通补助', '补充医疗保险', '意外险', '五险一金', '企业年金', '法定节假日三薪', '员工旅游', '带薪年假', '保底工资', '加班补助', '团建聚餐', '定期体检', '夜班补助', '股票期权', '节日福利', '免费班车', '零食下午茶', '年终奖', '绩效奖金', '节假日加班费']","['Golang', 'Django', 'Redis']",20.0,40.0,1.0,30.0,1,3,5,本科,开发工程师,"['交通补助', '补充医疗保险', '意外险', '五险一金', '企业年金', '法定节假日三薪', '员工旅游', '带薪年假', '保底工资', '加班补助', '团建聚餐', '定期体检', '夜班补助', '股票期权', '节日福利', '免费班车', '零食下午茶', '年终奖', '绩效奖金', '节假日加班费']","['Golang', 'Django', 'Redis']",20,3,0,0,0
遥感工程师,10-15K,长沙,岳麓区,麓谷,1-3年,硕士,"['加班补助', '补充医疗保险', '员工旅游', '节日福利', '年终奖', '带薪年假', '零食下午茶', '餐补', '定期体检', '通讯补贴', '五险一金']","['数据分析/挖掘经验', '机器学习建模经验', '军工', 'In sar', '深度学习']",10.0,15.0,1.0,12.5,1,3,6,硕士,其他,"['加班补助', '补充医疗保险', '员工旅游', '节日福利', '年终奖', '带薪年假', '零食下午茶', '餐补', '定期体检', '通讯补贴', '五险一金']","['数据分析/挖掘经验', '机器学习建模经验', '军工', 'In sar', '深度学习']",11,5,0,0,0
少儿编程老师,7-10K,长沙,岳麓区,含浦,1-3年,大专,"['交通补助', '带薪年假', '免费工装', '生日福利', '团建聚餐', '零食下午茶', '员工旅游', '绩效奖金', '底薪加提成', '节日福利', '企业年金', '五险一金']",[],7.0,10.0,1.0,8.5,1,3,4,大专,教育培训,"['交通补助', '带薪年假', '免费工装', '生日福利', '团建聚餐', '零食下午茶', '员工旅游', '绩效奖金', '底薪加提成', '节日福利', '企业年金', '五险一金']",[],12,0,0,0,0
python售后讲师,6-9K,长沙,岳麓区,望城坡,1-3年,大专,"['零食下午茶', '加班补助', '团建聚餐', '底薪加提成', '年终奖', '保底工资', '绩效奖金']","['Hive', 'MySQL', 'Hadoop', 'Kafka', '其他', 'Linux开发/部署经验', 'Python', 'Flask']",6.0,9.0,1.0,7.5,1,3,4,大专,开发工程师,"['零食下午茶', '加班补助', '团建聚餐', '底薪加提成', '年终奖', '保底工资', '绩效奖金']","['Hive', 'MySQL', 'Hadoop', 'Kafka', '其他', 'Linux开发/部署经验', 'Python', 'Flask']",7,8,0,1,0
C/C++/java/python/web/go/算法/测试,15-29K·14薪,长沙,岳麓区,望城坡,经验不限,本科,"['交通补助', '包吃', '团建聚餐', '绩效奖金', '全勤奖', '零食下午茶', '加班补助', '定期体检', '年终奖', '五险一金', '餐补']","['Java', 'Python', 'C', 'Elasticsearch', 'Oracle']",15.0,29.0,1.1666666666666667,25.666666666666668,0,0,5,本科,开发工程师,"['交通补助', '包吃', '团建聚餐', '绩效奖金', '全勤奖', '零食下午茶', '加班补助', '定期体检', '年终奖', '五险一金', '餐补']","['Java', 'Python', 'C', 'Elasticsearch', 'Oracle']",11,5,1,1,0
python开发工程师,13-15K,长沙,岳麓区,岳麓大学城,经验不限,学历不限,"['团建聚餐', '绩效奖金', '零食下午茶', '带薪年假', '生日福利', '节日福利', '五险一金', '补充医疗保险', '餐补', '意外险', '年终奖']","['爬虫经验', 'Django', 'MySQL', '运维开发经验', '云计算经验', '架构设计经验', 'Linux开发/部署经验', 'Python']",13.0,15.0,1.0,14.0,0,0,1,学历不限,开发工程师,"['团建聚餐', '绩效奖金', '零食下午茶', '带薪年假', '生日福利', '节日福利', '五险一金', '补充医疗保险', '餐补', '意外险', '年终奖']","['爬虫经验', 'Django', 'MySQL', '运维开发经验', '云计算经验', '架构设计经验', 'Linux开发/部署经验', 'Python']",11,8,0,1,0
自然语言处理算法,10-15K,长沙,,,1-3年,大专,"['零食下午茶', '正常节假日', '节日福利', '五险']","['知识图谱', '对话系统', 'Python', '优秀开源项目经历', '大模型算法', 'NLP', '语料库/知识库', '语音识别']",10.0,15.0,1.0,12.5,1,3,4,大专,AI/算法工程师,"['零食下午茶', '正常节假日', '节日福利', '五险']","['知识图谱', '对话系统', 'Python', '优秀开源项目经历', '大模型算法', 'NLP', '语料库/知识库', '语音识别']",4,8,1,1,0
Python（远程办公）,10-15K,长沙,岳麓区,涉外经济学院,3-5年,大专,"['节日福利', '员工旅游', '五险一金', '零食下午茶', '定期体检', '年终奖', '带薪年假']","['视觉图像算法', '文字识别', '图像分析']",10.0,15.0,1.0,12.5,3,5,4,大专,开发工程师,"['节日福利', '员工旅游', '五险一金', '零食下午茶', '定期体检', '年终奖', '带薪年假']","['视觉图像算法', '文字识别', '图像分析']",7,3,0,0,0
软件开发工程师（入职社保 双休 10-15K）,10-15K,长沙,岳麓区,麓山路,1-3年,大专,"['交通补助', '带薪年假', '员工旅游', '生日福利', '年终奖', '绩效奖金']","['全栈无侧重', 'PHP', '全栈项目经验', '计算机相关专业', '前端开发经验', '后端开发经验']",10.0,15.0,1.0,12.5,1,3,4,大专,开发工程师,"['交通补助', '带薪年假', '员工旅游', '生日福利', '年终奖', '绩效奖金']","['全栈无侧重', 'PHP', '全栈项目经验', '计算机相关专业', '前端开发经验', '后端开发经验']",6,6,0,0,0
python爬虫工程师,12-15K,长沙,岳麓区,麓谷,1-3年,本科,"['团建聚餐', '节日福利', '零食下午茶', '员工旅游', '节假日加班费', '全勤奖', '带薪年假', '底薪加提成', '绩效奖金', '年终奖', '五险一金']","['国际机票', '航空票务']",12.0,15.0,1.0,13.5,1,3,5,本科,开发工程师,"['团建聚餐', '节日福利', '零食下午茶', '员工旅游', '节假日加班费', '全勤奖', '带薪年假', '底薪加提成', '绩效奖金', '年终奖', '五险一金']","['国际机票', '航空票务']",11,2,0,0,0
Python【Python爬虫培训师】,7-10K,长沙,岳麓区,麓谷,3-5年,大专,"['带薪年假', '团建聚餐', '保底工资', '绩效奖金', '员工旅游', '年终奖', '生日福利', '全勤奖', '节日福利', '五险一金', '底薪加提成', '零食下午茶']","['Scrapy', 'MySQL', 'Selenium', 'Python']",7.0,10.0,1.0,8.5,3,5,4,大专,开发工程师,"['带薪年假', '团建聚餐', '保底工资', '绩效奖金', '员工旅游', '年终奖', '生日福利', '全勤奖', '节日福利', '五险一金', '底薪加提成', '零食下午茶']","['Scrapy', 'MySQL', 'Selenium', 'Python']",12,4,0,1,0
python老师+地铁口+10号发薪,8-12K,长沙,岳麓区,麓谷,3-5年,本科,"['生日福利', '五险一金', '底薪加提成', '节日福利', '员工旅游', '定期体检', '带薪年假', '零食下午茶', '绩效奖金', '团建聚餐', '全勤奖', '年终奖', '意外险']","['爬虫', 'Scrapy', '爬虫经验', 'PyTorch', 'MySQL', 'JavaScript', 'js逆向', 'js', '逆向', 'Selenium', '架构设计经验', 'Python']",8.0,12.0,1.0,10.0,3,5,5,本科,开发工程师,"['生日福利', '五险一金', '底薪加提成', '节日福利', '员工旅游', '定期体检', '带薪年假', '零食下午茶', '绩效奖金', '团建聚餐', '全勤奖', '年终奖', '意外险']","['爬虫', 'Scrapy', '爬虫经验', 'PyTorch', 'MySQL', 'JavaScript', 'js逆向', 'js', '逆向', 'Selenium', '架构设计经验', 'Python']",13,12,0,1,0
Python RPA (可接受线上面试）,8-13K,长沙,岳麓区,麓谷,1-3年,大专,"['全勤奖', '零食下午茶', '生日福利', '绩效奖金', '保底工资', '底薪加提成', '股票期权', '带薪年假', '团建聚餐', '有无线网', '意外险', '免费工装', '员工旅游', '宿舍有空调', '五险一金', '节日福利']","['Nginx', '爬虫经验', 'MySQL', '机器学习经验', '运维开发经验', 'Python']",8.0,13.0,1.0,10.5,1,3,4,大专,开发工程师,"['全勤奖', '零食下午茶', '生日福利', '绩效奖金', '保底工资', '底薪加提成', '股票期权', '带薪年假', '团建聚餐', '有无线网', '意外险', '免费工装', '员工旅游', '宿舍有空调', '五险一金', '节日福利']","['Nginx', '爬虫经验', 'MySQL', '机器学习经验', '运维开发经验', 'Python']",16,6,0,1,0
python后端开发工程师,16-24K,长沙,,,3-5年,本科,[],"['Python', 'Flask', 'PostgreSQL']",16.0,24.0,1.0,20.0,3,5,5,本科,开发工程师,[],"['Python', 'Flask', 'PostgreSQL']",0,3,0,1,0
数据分析师,10-14K,长沙,岳麓区,银盆岭,5-10年,本科,"['年终奖', '五险一金', '股票期权', '带薪年假', '节日福利', '定期体检', '通讯补贴', '员工旅游', '交通补助']",[],10.0,14.0,1.0,12.0,5,10,5,本科,数据分析/工程师,"['年终奖', '五险一金', '股票期权', '带薪年假', '节日福利', '定期体检', '通讯补贴', '员工旅游', '交通补助']",[],9,0,0,0,0
python数据分析师,15-25K·13薪,长沙,岳麓区,麓谷,5-10年,大专,"['定期体检', '零食下午茶', '交通补助', '加班补助', '五险一金', '员工旅游', '健身房', '带薪年假', '节日福利', '年终奖', '团建聚餐']","['Python', '数据分析/挖掘经验']",15.0,25.0,1.0833333333333333,21.666666666666664,5,10,4,大专,开发工程师,"['定期体检', '零食下午茶', '交通补助', '加班补助', '五险一金', '员工旅游', '健身房', '带薪年假', '节日福利', '年终奖', '团建聚餐']","['Python', '数据分析/挖掘经验']",11,2,0,1,0
python开发工程师,12-20K,长沙,岳麓区,麓山路,3-5年,本科,"['五险一金', '带薪年假', '餐补', '节日福利', '双休']","['MySQL', 'LangChain', 'ai', 'rag', '大模型', 'Python', 'Flask']",12.0,20.0,1.0,16.0,3,5,5,本科,开发工程师,"['五险一金', '带薪年假', '餐补', '节日福利', '双休']","['MySQL', 'LangChain', 'ai', 'rag', '大模型', 'Python', 'Flask']",5,7,0,1,0
Python 公开课讲师,6-11K,长沙,岳麓区,望城坡,1-3年,大专,"['五险一金', '绩效奖金', '带薪年假', '有无线网', '节日福利', '加班补助', '底薪加提成', '保底工资', '生日福利', '年终奖', '团建聚餐']","['职业培训班', '辅导答疑', '线上教学', '计算机相关专业', '普通话发音标准']",6.0,11.0,1.0,8.5,1,3,4,大专,开发工程师,"['五险一金', '绩效奖金', '带薪年假', '有无线网', '节日福利', '加班补助', '底薪加提成', '保底工资', '生日福利', '年终奖', '团建聚餐']","['职业培训班', '辅导答疑', '线上教学', '计算机相关专业', '普通话发音标准']",11,5,0,0,0
中级后端开发工程师,7-12K,长沙,岳麓区,银盆岭,3-5年,学历不限,[],"['Java', 'Docker', 'MySQL', 'Python', 'Kubernetes']",7.0,12.0,1.0,9.5,3,5,1,学历不限,开发工程师,[],"['Java', 'Docker', 'MySQL', 'Python', 'Kubernetes']",0,5,0,1,0
高级数据分析师+周末双休+入职购买五险,10-15K,长沙,,,3-5年,本科,"['团建聚餐', '通讯补贴', '补充医疗保险', '带薪年假', '生日福利', '节日福利', '年终奖', '节假日加班费', '底薪加提成', '零食下午茶', '交通补助', '工龄奖']",[],10.0,15.0,1.0,12.5,3,5,5,本科,数据分析/工程师,"['团建聚餐', '通讯补贴', '补充医疗保险', '带薪年假', '生日福利', '节日福利', '年终奖', '节假日加班费', '底薪加提成', '零食下午茶', '交通补助', '工龄奖']",[],12,0,0,0,0
Python开发工程师,15-30K,长沙,,,1-3年,本科,"['节日福利', '员工旅游', '股票期权', '定期体检', '五险一金', '年终奖', '带薪年假']",['Python'],15.0,30.0,1.0,22.5,1,3,5,本科,开发工程师,"['节日福利', '员工旅游', '股票期权', '定期体检', '五险一金', '年终奖', '带薪年假']",['Python'],7,1,0,1,0
测试开发,5-9K,长沙,岳麓区,麓谷,1-3年,大专,"['免费班车', '定期体检', '节日福利', '带薪年假', '五险一金', '年终奖']",[],5.0,9.0,1.0,7.0,1,3,4,大专,测试工程师,"['免费班车', '定期体检', '节日福利', '带薪年假', '五险一金', '年终奖']",[],6,0,0,0,0
Python 开发工程师,10-15K,长沙,,,5-10年,本科,"['五险一金', '餐补', '年终奖', '全勤奖', '股票期权', '包吃']","['Python', 'Django', '全栈开发经验', '计算机相关专业', '数学/统计相关专业', '35岁以上']",10.0,15.0,1.0,12.5,5,10,5,本科,开发工程师,"['五险一金', '餐补', '年终奖', '全勤奖', '股票期权', '包吃']","['Python', 'Django', '全栈开发经验', '计算机相关专业', '数学/统计相关专业', '35岁以上']",6,6,0,1,0
python开发工程师,8-13K·14薪,长沙,岳麓区,含浦,3-5年,大专,"['有无线网', '节日福利', '股票期权', '五险一金', '年终奖', '餐补', '团建聚餐', '零食下午茶', '带薪年假', '生日福利', '员工旅游', '夜班补助', '定期体检', '绩效奖金', '加班补助', '全勤奖', '免费工装']","['桌面开发', 'Python']",8.0,13.0,1.1666666666666667,12.25,3,5,4,大专,开发工程师,"['有无线网', '节日福利', '股票期权', '五险一金', '年终奖', '餐补', '团建聚餐', '零食下午茶', '带薪年假', '生日福利', '员工旅游', '夜班补助', '定期体检', '绩效奖金', '加班补助', '全勤奖', '免费工装']","['桌面开发', 'Python']",17,2,0,1,0
中级数据分析师,10-12K,长沙,岳麓区,望城坡,3-5年,本科,"['年终奖', '五险一金']",[],10.0,12.0,1.0,11.0,3,5,5,本科,数据分析/工程师,"['年终奖', '五险一金']",[],2,0,0,0,0
python开发工程师,8-12K,长沙,岳麓区,麓谷,3-5年,本科,"['生日福利', '年终奖', '带薪年假', '定期体检', '节日福利', '五险一金']",['Python'],8.0,12.0,1.0,10.0,3,5,5,本科,开发工程师,"['生日福利', '年终奖', '带薪年假', '定期体检', '节日福利', '五险一金']",['Python'],6,1,0,1,0
数据分析,3-6K,长沙,岳麓区,梅溪湖,经验不限,学历不限,[],"['SQL', 'Python', '数学/统计相关专业', '计算机相关专业', '数据分析/挖掘经验']",3.0,6.0,1.0,4.5,0,0,1,学历不限,数据分析/工程师,[],"['SQL', 'Python', '数学/统计相关专业', '计算机相关专业', '数据分析/挖掘经验']",0,5,0,1,0
渗透测试,7-10K,长沙,岳麓区,麓山路,3-5年,学历不限,['节日福利'],[],7.0,10.0,1.0,8.5,3,5,1,学历不限,测试工程师,['节日福利'],[],1,0,0,0,0
Python开发工程师,11-16K,长沙,岳麓区,麓谷,3-5年,本科,"['加班补助', '年终奖', '节日福利', '意外险', '定期体检', '生日福利', '有无线网', '通讯补贴', '员工旅游', '带薪年假', '餐补', '五险一金', '包住', '宿舍有空调', '交通补助', '薪酬']","['Docker', '微服务经验', 'AI算法开发经验。', 'MySQL', '运维开发经验', 'Linux开发/部署经验', 'Docker和容器化技术', 'Linux容器部署管理，', 'Numpy', 'Python']",11.0,16.0,1.0,13.5,3,5,5,本科,开发工程师,"['加班补助', '年终奖', '节日福利', '意外险', '定期体检', '生日福利', '有无线网', '通讯补贴', '员工旅游', '带薪年假', '餐补', '五险一金', '包住', '宿舍有空调', '交通补助', '薪酬']","['Docker', '微服务经验', 'AI算法开发经验。', 'MySQL', '运维开发经验', 'Linux开发/部署经验', 'Docker和容器化技术', 'Linux容器部署管理，', 'Numpy', 'Python']",16,10,0,1,0
python高级开发工程师,12-20K·13薪,长沙,岳麓区,含浦,5-10年,本科,"['带薪年假', '员工旅游', '节日福利', '补贴', '零食下午茶', '五险', '餐补', '通讯补贴', '交通补助']","['Python', 'Docker', 'Nginx', 'Flask', 'MySQL', 'Oracle', '架构设计经验', 'Linux开发/部署经验']",12.0,20.0,1.0833333333333333,17.333333333333332,5,10,5,本科,开发工程师,"['带薪年假', '员工旅游', '节日福利', '补贴', '零食下午茶', '五险', '餐补', '通讯补贴', '交通补助']","['Python', 'Docker', 'Nginx', 'Flask', 'MySQL', 'Oracle', '架构设计经验', 'Linux开发/部署经验']",9,8,0,1,0
Java全栈工程师,8-13K,长沙,岳麓区,梅溪湖,经验不限,学历不限,"['年终奖', '零食下午茶', '五险一金', '员工旅游', '绩效奖金', '团建聚餐']","['Java', 'Python', 'PHP', 'Spring', 'Nginx', 'MyBatis', 'MySQL', 'Redis', '架构设计经验']",8.0,13.0,1.0,10.5,0,0,1,学历不限,开发工程师,"['年终奖', '零食下午茶', '五险一金', '员工旅游', '绩效奖金', '团建聚餐']","['Java', 'Python', 'PHP', 'Spring', 'Nginx', 'MyBatis', 'MySQL', 'Redis', '架构设计经验']",6,9,0,1,0
云计算运维开发工程师（包三餐）,12-15K,长沙,岳麓区,望城坡,1-3年,大专,[],"['Python/Shell', '运维开发经验', '云计算']",12.0,15.0,1.0,13.5,1,3,4,大专,开发工程师,[],"['Python/Shell', '运维开发经验', '云计算']",0,3,0,1,0
Python高级（SD0303）,15-25K·14薪,长沙,岳麓区,麓谷,1-3年,本科,"['节日福利', '定期体检', '带薪年假', '餐补', '年终奖', '补充医疗保险', '五险一金', '试用期全薪', '交通补助', '员工旅游', '加班补助', '弹性时间']","['Python', 'Django', 'MySQL', '架构设计经验']",15.0,25.0,1.1666666666666667,23.333333333333336,1,3,5,本科,开发工程师,"['节日福利', '定期体检', '带薪年假', '餐补', '年终奖', '补充医疗保险', '五险一金', '试用期全薪', '交通补助', '员工旅游', '加班补助', '弹性时间']","['Python', 'Django', 'MySQL', '架构设计经验']",12,4,0,1,0
高级python开发工程师（数据方向）,12-23K,长沙,岳麓区,含浦,3-5年,本科,"['定期体检', '节日福利', '交通补助', '餐补', '年终奖', '团建聚餐', '五险一金', '加班补助', '补充医疗保险']","['Python', 'Pandas', 'Numpy', 'Hive', 'Oracle', 'Hadoop', 'Linux开发/部署经验', 'MinHash去重', 'BloomFilter应用']",12.0,23.0,1.0,17.5,3,5,5,本科,开发工程师,"['定期体检', '节日福利', '交通补助', '餐补', '年终奖', '团建聚餐', '五险一金', '加班补助', '补充医疗保险']","['Python', 'Pandas', 'Numpy', 'Hive', 'Oracle', 'Hadoop', 'Linux开发/部署经验', 'MinHash去重', 'BloomFilter应用']",9,9,0,1,0
python助教,4-7K,长沙,岳麓区,青山镇,经验不限,大专,"['保底工资', '年终奖', '住房补贴', '交通补助', '绩效奖金', '底薪加提成', '五险一金', '全勤奖']","['Python', 'Django', 'MySQL', '爬虫经验']",4.0,7.0,1.0,5.5,0,0,4,大专,开发工程师,"['保底工资', '年终奖', '住房补贴', '交通补助', '绩效奖金', '底薪加提成', '五险一金', '全勤奖']","['Python', 'Django', 'MySQL', '爬虫经验']",8,4,0,1,0
Python后端开发工程师(合作伙伴/外包),12-13K,长沙,岳麓区,麓谷,3-5年,大专,"['企业滴滴打车', '五险一金', '补充医疗保险', '节日福利', '带薪年假', '员工旅游', '年终奖', '零食下午茶', '包吃', '定期体检']","['Django', 'MySQL', '运维开发经验', 'Python', 'Flask']",12.0,13.0,1.0,12.5,3,5,4,大专,开发工程师,"['企业滴滴打车', '五险一金', '补充医疗保险', '节日福利', '带薪年假', '员工旅游', '年终奖', '零食下午茶', '包吃', '定期体检']","['Django', 'MySQL', '运维开发经验', 'Python', 'Flask']",10,5,0,1,0
自动化软件测试-长沙,10-13K,长沙,岳麓区,望城坡,3-5年,本科,"['节日福利', '五险一金', '企业文化', '零食下午茶', '带薪年假']","['Java', '自动化测试', 'Selenium', '计算机相关专业']",10.0,13.0,1.0,11.5,3,5,5,本科,测试工程师,"['节日福利', '五险一金', '企业文化', '零食下午茶', '带薪年假']","['Java', '自动化测试', 'Selenium', '计算机相关专业']",5,4,0,0,0
Python 后端开发工程师,15-25K,长沙,,,3-5年,本科,[],"['Python', 'Flask', 'Django', 'MySQL', 'Redis', '团队管理经验']",15.0,25.0,1.0,20.0,3,5,5,本科,开发工程师,[],"['Python', 'Flask', 'Django', 'MySQL', 'Redis', '团队管理经验']",0,6,0,1,0
python开发工程师（双休五险一金）(J10475),12-18K,长沙,岳麓区,望城坡,3-5年,大专,"['节日福利', '加班补助', '绩效奖金', '团建聚餐', '全勤奖', '零食下午茶', '五险一金', '工龄奖', '带薪年假', '生日福利', '员工协会']","['Django', 'Pandas', 'MySQL', 'Selenium', 'Numpy', 'Python']",12.0,18.0,1.0,15.0,3,5,4,大专,开发工程师,"['节日福利', '加班补助', '绩效奖金', '团建聚餐', '全勤奖', '零食下午茶', '五险一金', '工龄奖', '带薪年假', '生日福利', '员工协会']","['Django', 'Pandas', 'MySQL', 'Selenium', 'Numpy', 'Python']",11,6,0,1,0
Python,5-8K,长沙,岳麓区,梅溪湖,经验不限,大专,[],"['Python', 'Selenium', 'MySQL']",5.0,8.0,1.0,6.5,0,0,4,大专,开发工程师,[],"['Python', 'Selenium', 'MySQL']",0,3,0,1,0
EDA产品工程师（电源完整性方向）,12-24K·14薪,长沙,岳麓区,望城坡,3-5年,本科,"['节日福利', '补充医疗保险', '员工旅游', '年终奖', '五险一金', '定期体检', '带薪年假', '团建聚餐', '生日福利', '绩效奖金', '工龄奖', '零食下午茶', '餐补', '股票期权']","['Python', 'Shell', 'Perl', '电路设计']",12.0,24.0,1.1666666666666667,21.0,3,5,5,本科,产品经理,"['节日福利', '补充医疗保险', '员工旅游', '年终奖', '五险一金', '定期体检', '带薪年假', '团建聚餐', '生日福利', '绩效奖金', '工龄奖', '零食下午茶', '餐补', '股票期权']","['Python', 'Shell', 'Perl', '电路设计']",14,4,0,1,0
Java/C/C++/Python/PHP/GO/JS,15-30K·15薪,长沙,岳麓区,麓谷,经验不限,本科,"['员工旅游', '零食下午茶', '意外险', '夜班补助', '法定节假日三薪', '五险一金', '团建聚餐', '绩效奖金', '定期体检', '企业年金', '加班补助', '保底工资', '股票期权', '带薪年假', '节日福利', '年终奖', '节假日加班费', '免费班车', '交通补助', '补充医疗保险']","['Golang', 'Java', 'C++', 'Hibernate', '团队管理经验', '不接受居家办公', 'C', '分布式经验', 'SpringCloud', 'Kafka', 'Redis', 'Spring', 'HBase', '微服务经验', 'MySQL', 'MyBatis', '云计算经验', 'MongoDB', '架构设计经验', 'Oracle', 'Python']",15.0,30.0,1.25,28.125,0,0,5,本科,开发工程师,"['员工旅游', '零食下午茶', '意外险', '夜班补助', '法定节假日三薪', '五险一金', '团建聚餐', '绩效奖金', '定期体检', '企业年金', '加班补助', '保底工资', '股票期权', '带薪年假', '节日福利', '年终奖', '节假日加班费', '免费班车', '交通补助', '补充医疗保险']","['Golang', 'Java', 'C++', 'Hibernate', '团队管理经验', '不接受居家办公', 'C', '分布式经验', 'SpringCloud', 'Kafka', 'Redis', 'Spring', 'HBase', '微服务经验', 'MySQL', 'MyBatis', '云计算经验', 'MongoDB', '架构设计经验', 'Oracle', 'Python']",20,21,0,1,0
